"STATION","NAME","DATE","DLY-DUTR-NORMAL","DLY-DUTR-STDDEV","DLY-TAVG-NORMAL","DLY-TAVG-STDDEV","DLY-TMAX-NORMAL","DLY-TMAX-STDDEV","DLY-TMIN-NORMAL","DLY-TMIN-STDDEV"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-17","-4.3","-13.0","19.1","-14.2","25.8","-13.1","12.3","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-18","-4.3","-13.0","19.2","-14.2","25.9","-13.2","12.5","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-19","-4.3","-13.1","19.4","-14.2","26.1","-13.2","12.6","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-20","-4.3","-13.1","19.6","-14.2","26.3","-13.2","12.8","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-21","-4.3","-13.1","19.7","-14.2","26.4","-13.3","12.9","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-22","-4.3","-13.2","19.8","-14.2","26.6","-13.3","13.1","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-23","-4.3","-13.2","20.0","-14.3","26.7","-13.4","13.2","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-24","-4.3","-13.3","20.1","-14.3","26.9","-13.4","13.4","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-25","-4.3","-13.3","20.3","-14.3","27.0","-13.5","13.5","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-26","-4.3","-13.3","20.4","-14.3","27.2","-13.6","13.6","-13.8"
